DSNS,20210917,3881.88,3882.61,3808.25,3823.12,196707800
DSOG,20210917,463.55,468.23,459.16,460.35,232842200
DSOI,20210917,176.76,178.49,172.51,173.48,159805800
DSOL,20210917,407.02,411.34,402.55,403.2,71238800
DSOQ,20210917,271.21,273.09,266.73,267.4,224800400
DSOS,20210917,570.88,576.31,566.32,568.53,161603400
DSPB,20210917,666.82,668.02,658.5,659.95,18708700
DSPC,20210917,443.42,443.42,438.52,440,8143200
DSPG,20210917,912.71,919.84,905.76,906.89,67566800
DSPL,20210917,581.34,584.54,574.33,575.33,64994500
DSPM,20210917,123.81,123.81,121.92,123.34,11283000
DSPN,20210917,1055.74,1055.74,1045.25,1053.25,379765500
DSPR,20210917,715.04,715.04,706.66,710.83,228968500
DSRA,20210917,1211.18,1233.58,1211.18,1220.62,34447900
DSRB,20210917,3573.89,3582.98,3546.07,3551.87,37267700
DSRD,20210917,834.73,840.25,831.48,835.32,16252400
DSRE,20210917,417.95,420.06,415.19,415.6,308339300
DSRH,20210917,731.42,735.23,725.78,730.07,23248600
DSRI,20210917,170.29,171.17,169.16,169.29,285090600
DSRL,20210917,96.8,97.47,95.63,95.72,33994000
DSRN,20210917,290.58,291.43,286.22,286.37,45402200
DSRP,20210917,645.99,645.99,639.18,640.4,5000200
DSRQ,20210917,100.14,102.27,100.14,101.12,59143300
DSRR,20210917,3050.55,3060.79,3006.37,3015.33,35219800
DSRS,20210917,2876.99,2888.28,2862.91,2877.88,49708800
DSRT,20210917,2239.47,2248.63,2229.45,2232.17,218795400
DSRU,20210917,2561.53,2566.24,2540.39,2545,29794800
DSSB,20210917,1896.66,1907.57,1877.61,1887.45,52702600
DSSC,20210917,7834.07,7834.07,7718.78,7751.57,241076600
DSSD,20210917,837.57,837.57,826.66,827.56,63402900
DSSF,20210917,493.91,496.83,489.4,493.13,75919300
DSSP,20210917,607.08,608.7,599.65,599.7,31644800
DSSR,20210917,294.23,296.1,293.83,294.25,89232800
DSST,20210917,390.17,390.17,375.27,377.94,16356200
DSSV,20210917,5503.84,5506.79,5427.31,5437.76,733870200
DSSW,20210917,5715.19,5720.31,5647.39,5657.75,511309600
DSTB,20210917,750.25,750.98,744.64,745.49,20089400
DSTC,20210917,4449.62,4449.62,4384.59,4393.76,1270504000
DSTK,20210917,1386.32,1386.71,1363.84,1368.16,19001700
DSTL,20210917,163.44,164.75,163.44,163.62,107449200
DSTP,20210917,1105.22,1107.4,1096.86,1098.29,0
DSTQ,20210917,3862.58,3862.58,3801.77,3810.96,536634100
DSTS,20210917,374.65,379.85,365.5,366.43,6169400
DSTT,20210917,800.85,804.59,792.6,794.78,64625200
DSTY,20210917,1247.27,1247.88,1226.06,1238.38,77033900
DSUO,20210917,329.26,331.71,326.11,326.26,51441600
DSUT,20210917,328.69,330.87,324.85,325.09,218423500
DSVE,20210917,314.23,316.22,310.3,310.56,166981800
DSVN,20210917,486.21,486.21,481.95,482.93,4788400
DSWC,20210917,392.54,394.35,392.08,392.76,39475700
DSWU,20210917,3610.37,3635.11,3575.08,3581.88,5071900
DTCI,20210917,2201.51,2209.66,2183.3,2185.78,0
DTEI,20210917,2675.49,2685.99,2652.96,2655.84,0
